id	name	reactome_class
2023973_RLE	(PP)2-IP4 is dephosphorylated to 1/3-PP-IP5 by NUDT(1) in the cytosol	Reaction
1855165_RLE	(PP)2-IP4 is dephosphorylated to 5-PP-IP5 by NUDT(1) in the cytosol	Reaction
1855220_RLE	(PP)2-IP4 transports from the nucleus to the cytosol	Reaction
880007_RLE	(R)-2-hydroxyglutarate + FAD => 2-oxoglutarate + FADH2	Reaction
880002_RLE	(R)-2-hydroxyglutarate + succinate semialdehyde <=> 2-oxoglutarate + 4-hydroxybutyrate	Reaction
909780_RLE	(R)-3-aminoisobutyric acid + pyruvate => 2-methyl-3-oxopropanoate + alanine	Reaction
880050_RLE	(S)-2-hydroxyglutarate + FAD => 2-oxoglutarate + FADH2	Reaction
77254_RLE	(S)-3-Hydroxydodecanoyl-CoA+NAD<=>3-Oxododecanoyl-CoA+NADH+H	Reaction
77303_RLE	(S)-3-Hydroxyhexadecanoyl-CoA+NAD<=>3-Oxopalmitoyl-CoA+NADH+H	Reaction
77283_RLE	(S)-3-Hydroxytetradecanoyl-CoA+NAD<=>3-Oxotetradecanoyl-CoA+NADH+H	Reaction
73569_RLE	(S)-dihydroorotate + ubiquinone => orotate + ubiquinol	Reaction
77312_RLE	(S)-Hydroxybutanoyl-CoA+NAD<=>Acetoacetyl-CoA+NADH+H	Reaction
77342_RLE	(S)-Hydroxydecanoyl-CoA+NAD<=>3-Oxodecanoyl-CoA+NADH+H	Reaction
77323_RLE	(S)-Hydroxyhexanoyl-CoA+NAD<=>3-Oxohexanoyl-CoA+NADH+H	Reaction
77331_RLE	(S)-Hydroxyoctanoyl-CoA+NAD<=>3-Oxooctanoyl-CoA+NADH+H	Reaction
70510_RLE	(S)-Lactate + NAD+ <=> Pyruvate + NADH + H+	Reaction
70979_RLE	(S)-Malate + NAD+ <=> Oxaloacetate + NADH + H+	Reaction
451033_RLE	(S)-Malate <=> Fumarate + H2O	Reaction
75900_RLE	1,2-diacyl-glycerol + acyl-CoA => triacylglycerol + CoASH [DGAT1]	Reaction
549192_RLE	1,2-diacyl-glycerol + acyl-CoA => triacylglycerol + CoASH [DGAT2]	Reaction
75899_RLE	1,2-diacyl-glycerol 3-phosphate + H2O => 1,2-diacyl-glycerol + orthophosphate	Reaction
209765_RLE	1,25-dihydroxyvitamin D3 is deactivated	Reaction
5607745_RLE	1,3-beta-D-glucan:p-Y15-CLEC7A:SYK phosphorylates PLCG	Reaction
71850_RLE	1,3-bisphospho-D-glycerate + ADP <=> 3-phospho-D-glycerate + ADP	Reaction
70482_RLE	1,3-bisphospho-D-glycerate + NADH + H+ <=> D-glyceraldehyde 3-phosphate + Orthophosphate + NAD+	Reaction
75885_RLE	1-acyl LPA is acylated to PA by AGPAT (LPAAT)	Reaction
1482548_RLE	1-acyl LPA is acylated to PA by AGPAT5 (OM)	Reaction
1482547_RLE	1-acyl LPC is acylated to PC by LPCAT	Reaction
1482696_RLE	1-acyl LPC is hydrolyzed to GPCho by PLA2G4C	Reaction
1482685_RLE	1-acyl LPC is hydrolyzed to GPCho by PLA2[8]	Reaction
1482667_RLE	1-acyl LPE is acylated to PE by LPEAT	Reaction
1482571_RLE	1-acyl LPE is hydrolyzed to GPETA by PLA2G4C	Reaction
1482689_RLE	1-acyl LPG is acylated to PG by CRLS1 (IM)	Reaction
1482539_RLE	1-acyl LPG is acylated to PG by LPGAT	Reaction
1482598_RLE	1-acyl LPI is acylated to PI by MBOAT7	Reaction
1482636_RLE	1-acyl LPS is acylated to PS by LPSAT	Reaction
175117_RLE	1-LTR circle formation	Reaction
390427_RLE	1-palmitoylglycerone phosphate + hexadecanol => O-hexadecylglycerone phosphate + palmitate	Reaction
1855193_RLE	1-PP-IP4 is phosphorylated to 1,5-(PP)2-IP3 by IP6K1/3 in the cytosol	Reaction
1855157_RLE	1-PP-IP5 is phosphorylated to 1,5-(PP)2-IP4 by IP6K1/2 in the nucleus	Reaction
1855194_RLE	1-PP-IP5 is phosphorylated to 1,5-(PP)2-IP4 by IP6K1/3 in the cytosol	Reaction
2023971_RLE	1/3 PP-IP5 is dephosphorylated to IP6 by NUDT(1) in the cytosol	Reaction
1855212_RLE	1/3-PP-IP5 transports from the cytosol to the nucleus	Reaction
200661_RLE	10-formylTHF polyglutamate <=> 5,10-methenylTHF polyglutamate + H2O	Reaction
194025_RLE	11-deoxycortisol translocates to the mitochondrion	Reaction
2454113_RLE	11cRAL (RPE) translocates to photoreceptor outer segment	BlackBoxEvent
2465924_RLE	11cRAL binds to cone opsins	Reaction
2454118_RLE	11cRAL binds to opsin to form 11c-retinyl:RHO	Reaction
2465921_RLE	11cRDH oxidises 11cROL to 11cRAL	BlackBoxEvent
2465934_RLE	11cROL translocates from Muller cells to cone photoreceptor cells	BlackBoxEvent
193996_RLE	11DCORST translocates from cytosol to mitochondrial matrix	Reaction
2161959_RLE	12R-HpETE is reduced to 12R-HETE by GPX1/2/4	Reaction
2161999_RLE	12S-HpETE is reduced to 12S-HETE by GPX1/2/4	Reaction
1445149_RLE	14-3-3 binds p-5S,T642-AS160 (TBC1D4)	Reaction
1454689_RLE	14-3-3 Binds p-S237-TBC1D1	Reaction
913993_RLE	14-3-3 proteins beta and zeta bind and inhibit Rap1Gap2	Reaction
914182_RLE	14-3-3 zeta binding allows recruitment of PI3K	Reaction
443831_RLE	14-3-3-zeta binds Raf1	Reaction
204981_RLE	14-3-3epsilon attentuates NADE-related apoptosis	Reaction
2161844_RLE	15k-LXA4 is reduced to dhk-LXA4 by PTGR1	Reaction
2161692_RLE	15k-PGE2/F2a is reduced to dhk-PGE2/F2a by PTGR1	Reaction
2161907_RLE	15R-HETE is converted to 15epi-LXA4/B4 by ALOX5	Reaction
2161789_RLE	15S-HETE is oxidised to 15-oxoETE by 15-HEDH	Reaction
2161917_RLE	15S-HpETE is oxidised to LXA4/B4 by ALOX5	Reaction
2161791_RLE	15S-HpETE is reduced to 15S-HETE by GPX1/2/4	Reaction
196372_RLE	17-Hydroxypregnenolone is dehydrogenated to form pregn-5-ene-3,20-dione-17-ol	Reaction
73916_RLE	2 acetyl-CoA <=> acetoacetyl-CoA + CoA	Reaction
70555_RLE	2 ATP + NH4+ + HCO3- => 2 ADP + orthophosphate + carbamoyl phosphate [mitochondrial]	Reaction
71676_RLE	2 glutathione, reduced + H2O2 => glutathione, oxidized + 2 H2O	Reaction
76031_RLE	2 H2O2 => O2 + 2 H2O	Reaction
163602_RLE	2 phosphorylated HSL monomers -> phosphorylated HSL dimer	Reaction
167076_RLE	2-4 nt.backtracking of Pol II complex on the HIV-1 template leading to elongation pausing	Reaction
167282_RLE	2-4 nt.backtracking of Pol II complex on the HIV-1 template leading to elongation pausing	Reaction
113411_RLE	2-4 nt.backtracking of Pol II complex on the template leading to elongation pausing	Reaction
1482533_RLE	2-acyl LPC is acylated to PC by LPCAT	Reaction
1482629_RLE	2-acyl LPC is hydrolyzed to GPCho by PLA2G4C	Reaction
1482612_RLE	2-acyl LPC is hydrolyzed to GPCho by PLA2[8]	Reaction
1482646_RLE	2-acyl LPE is acylated to PE by LPEAT	Reaction
1482545_RLE	2-acyl LPE is hydrolyzed to GPETA by PLA2G4C	Reaction
1482546_RLE	2-acyl LPG is acylated to PG by CRLS1 (IM)	Reaction
1482635_RLE	2-acyl LPG is acylated to PG by LPGAT	Reaction
1482626_RLE	2-acyl LPI is acylated to PI by MBOAT7	Reaction
1482691_RLE	2-acyl LPS is acylated to PS by LPSAT	Reaction
163595_RLE	2-acylglycerol + H2O -> glycerol + fatty acid	Reaction
426043_RLE	2-AG hydrolysis to arachidonate by MAGL	Reaction
197187_RLE	2-amino 3-carboxymuconate semialdehyde transforms non-enzymatically to quinolinate	Reaction
71223_RLE	2-amino-3-carboxymuconate semialdehyde => 2-aminomuconate semialdehyde + CO2	Reaction
71239_RLE	2-aminomuconate semialdehyde + NAD+ + H2O => aminomuconate + NADH + H+	Reaction
389611_RLE	2-hydroxyphytanoyl-CoA => pristanal + formyl-CoA	Reaction
164843	2-LTR circle formation	Pathway
175258_RLE	2-LTR formation due to circularization of viral DNA	Reaction
1482647_RLE	2-MAG and DAG are transacylated to TAG by PNPLA2/3	Reaction
1482543_RLE	2-MAG is hydrolyzed to fatty acid and glycerol by MGLL	Reaction
1482654_RLE	2-MAG is transacylated to DAG by PNPLA2/3	Reaction
880033_RLE	2-oxoglutarate + 4-hydroxybutyrate <=> (R)-2-hydroxyglutarate + succinate semialdehyde	Reaction
880053_RLE	2-oxoglutarate + NADPH + H+ => (R)-2-hydroxyglutarate + NADP+ [mutant IDH1]	Reaction
372480_RLE	2-oxoglutarate [mitochondrial matrix] + 2-oxoadipate [cytosol] <=> 2-oxoglutarate [cytosol] + 2-oxoadipate [mitochondrial matrix]	Reaction
71445_RLE	2-Phospho-D-glycerate <=> 3-Phospho-D-glycerate	Reaction
71660_RLE	2-Phospho-D-glycerate <=> Phosphoenolpyruvate + H2O	Reaction
77256_RLE	2-trans-Dodecenoyl-CoA+H2O<=>(S)-3-Hydroxydodecanoyl-CoA	Reaction
2161979_RLE	20cho-LTB4 is oxidised to 20cooh-LTB4 by ALDH	Reaction
2161792_RLE	20cho-LTB4 is oxidised to 20cooh-LTB4 by CYP4F2/4F3	Reaction
2161790_RLE	20cooh-LTB4 is converted to 18cooh-LTB4	BlackBoxEvent
2160906_RLE	20kDa HA fragments are translocated to lysosomes	BlackBoxEvent
2161745_RLE	20oh-LTB4 is oxidised to 20cho-LTB4 by CYP4F2/4F3	Reaction
193482_RLE	25(R) DHCA-CoA is translocated from the cytosol to the peroxisome	Reaction
193761_RLE	25(R) TetraHCA-CoA is translocated from the cytosol to the peroxisome	Reaction
192325_RLE	25(R) THCA-CoA is translocated from the cytosol to the peroxisome	Reaction
193535_RLE	25(S) 3alpha,7alpha-dihydroxy-5beta-cholest-24-enoyl-CoA is hydrated to (24R, 25R) 3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA	Reaction
193369_RLE	25(S) DHCA-CoA is dehydrogenated to 25(S) 3alpha,7alpha-dihydroxy-5beta-cholest-24-enoyl-CoA	Reaction
192335_RLE	25(S) THCA-CoA is dehydrogenated to 3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA (THCA-CoA)	Reaction
5607724_RLE	26S proteasome processes K48PolyUb-K21,22-p-S32,36-IkBA:NF-kB complex to form NF-kB complex	BlackBoxEvent
5607731_RLE	26S proteasome processes p-7S-p100:RELB to form p52:RELB	BlackBoxEvent
353125_RLE	26S proteosome degrades ODC holoenzyme complex	BlackBoxEvent
5668520_RLE	26Sproteasome degrades K48polyUb-NIK	BlackBoxEvent
191972_RLE	27-hydroxycholesterol is 7alpha-hydroxylated	Reaction
5389849_RLE	28S subunit:MTIF3 binds MTIF2:GTP, mRNA, and formylMet-tRNA	Reaction
196955_RLE	2xENPP1 hydrolyzes FAD to FMN	Reaction
198813_RLE	2xGSTOs reduce DHvitC to VitC	Reaction
5676591_RLE	2xLTBR binds LTBR:lymphotoxin,TNFSF14 trimer	Reaction
964962_RLE	2xPDKX:2xZn2+ phosphorylates PDX	Reaction
964958_RLE	2xPDXK:2xZn2+ phosphorylates PXA	Reaction
964970_RLE	2xPDXK:2xZn2+ phosphorylates PXL	Reaction
965019_RLE	2xPNPO:2xFMN oxidizes PDXP to PXLP	Reaction
965079_RLE	2xPNPO:2xFMN oxidizes PXAP to PXLP	Reaction
196753_RLE	2xPPCS ligates PPanK with Cys	Reaction
5676592_RLE	2xRANK binds RANKL,sRANKL trimer:RANK	Reaction
5668467_RLE	2xTNFR2 binds TNFA trimer:TNFR2	Reaction
196761_RLE	2xTPK1:Mg2+ phosphorylates THMN	Reaction
196950_RLE	2xTRAP hydrolyzes FMN to RIB	Reaction
157279	3' -UTR-mediated translational regulation	Pathway
6782224_RLE	3' incision by ERCC5 (XPG) in TC-NER	Reaction
164513_RLE	3' PPT-primed initiation of plus-strand DNA synthesis 	Reaction
5690988_RLE	3'-incision of DNA by ERCC5 (XPG) in GG-NER	Reaction
176474_RLE	3,3'-diiodothyronine + PAPS => 3,3'-diiodothyronine 4-sulfate + PAP	Reaction
176585_RLE	3,5,3'-triiodothyronine + PAPS => 3,5,3'-triiodothyronine 4-sulfate + PAP	Reaction
193743_RLE	3,7,24THCA is conjugated with Coenzyme A (SLC27A2 VLCS)	Reaction
193711_RLE	3,7,24THCA is conjugated with Coenzyme A (SLC27A5 BACS)	Reaction
193786_RLE	3,7,24THCA is translocated from the mitochondrial matrix to the cytosol	Reaction
193753_RLE	3,7,24THCA-CoA is translocated from the cytosol to the peroxisome	Reaction
71218_RLE	3-hydroxyanthranilate + O2 => 2-amino-3-carboxymuconate semialdehyde	Reaction
71217_RLE	3-hydroxykynurenine + H2O => 3-hydroxyanthranilate + alanine	Reaction
389995_RLE	3-hydroxypristanoyl-CoA + NAD+ => 3-ketoxypristanoyl-CoA + NADH + H+	Reaction
390250_RLE	3-ketohexacosanoyl-CoA + CoASH => tetracosanoyl-CoA + acetyl-CoA	Reaction
390224_RLE	3-ketopristanoyl-CoA + CoASH => 4,8,12-trimethyltridecanoyl-CoA + propionyl-CoA	Reaction
428123_RLE	3-ketosphinganine + NADPH + H+ => sphinganine + NADP+	Reaction
77340_RLE	3-Oxodecanoyl-CoA+CoA-SH<=>Octanoyl-CoA	Reaction
77309_RLE	3-Oxododecanoyl-CoA+CoA-SH<=>Decanoyl-CoA	Reaction
77321_RLE	3-Oxohexanoyl-CoA+CoA-SH<=>Butanoyl-CoA	Reaction
77329_RLE	3-Oxooctanoyl-CoA+CoA-SH<=>Hexanoyl-CoA	Reaction
77304_RLE	3-Oxopalmitoyl-CoA+CoA-SH<=>myristoyl-CoA	Reaction
77271_RLE	3-Oxotetradecanoyl-CoA+CoA-SH<=>Lauroyl-CoA	Reaction
71654_RLE	3-Phospho-D-glycerate <=> 2-Phospho-D-glycerate	Reaction
977348_RLE	3-phosphoglycerate is dehydrogenated	Reaction
977333_RLE	3-phosphonooxypyruvic acid + L-glutamate = O-phospho-L-serine + 2-oxoglutarate	Reaction
5389839_RLE	39S subunit binds 28S subunit:mRNA:fMet-tRNA	Reaction
193460_RLE	3alpha, 7alpha-dihydroxy-5beta-cholestan-26-al is oxidized to 3alpha, 7alpha-dihydroxy-5beta-cholestanoate (DHCA)	Reaction
193713_RLE	3alpha,7alpha,12alpha,24(S)-tetrahydroxy-5beta-cholestan-27-al is oxidized to 3alpha,7alpha,12alpha,24(S)-tetrahydroxy-5beta-cholestanoate (TetraHCA)	Reaction
192331_RLE	3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA (THCA-CoA) is hydrated to (24R, 25R) 3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA	Reaction
192054_RLE	3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-27-al is oxidized to 3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoate (THCA)	Reaction
193737_RLE	3alpha,7alpha,24(S)-trihydroxy-5beta-cholestan-27-al is oxidized to 3alpha,7alpha,24(S)-trihydroxy-5beta-cholestanoate (3,7,24THCA)	Reaction
196840_RLE	3xPPCDC:3FMN decarboxylates PPC	Reaction
5684273_RLE	3xUb,p-S-NFkB p105:TPL2:ABIN2 dissociates due to degradation of p105	BlackBoxEvent
189406_RLE	4 PBGs bind to form HMB	Reaction
194674_RLE	4,4-dimethylcholesta-8(9),14,24-trien-3beta-ol is reduced to 4,4-dimethylcholesta-8(9),24-dien-3beta-ol [LBR]	Reaction
194698_RLE	4,4-dimethylcholesta-8(9),14,24-trien-3beta-ol is reduced to 4,4-dimethylcholesta-8(9),24-dien-3beta-ol [TM7SF2]	Reaction
194641_RLE	4,4-dimethylcholesta-8(9),24-dien-3beta-ol is oxidized to 4-methyl,4-carboxycholesta-8(9),24-dien-3beta-ol	Reaction
390276_RLE	4,8,12-trimethyltridecanoyl-CoA + 2 O2 + 2 H2O + 2 NAD+ + 2 CoASH => 4,8-dimethylnonanoyl-CoA + 2 H2O2 + 2 NADH + 2 H+ + acetyl-CoA + propionyl-CoA	BlackBoxEvent
390281_RLE	4,8-dimethylnonanoyl-CoA + carnitine => 4,8-dimethylnonanoylcarnitine + CoASH	Reaction
893609_RLE	4-(2-aminophenyl)-2,4-dioxobutanoate => kynurenic acid + H2O [cytosolic]	Reaction
893597_RLE	4-(2-aminophenyl)-2,4-dioxobutanoate => kynurenic acid + H2O [mitochondrial]	Reaction
194718_RLE	4-carboxycholesta-8(9),24-dien-3beta-ol is decarboxylated and oxidized to form cholesta-8(9),24-dien-3-one (zymosterone)	Reaction
192067_RLE	4-cholesten-7alpha, 12alpha-diol-3-one is reduced to 5beta-cholesten-7alpha, 12alpha-diol-3-one	Reaction
193755_RLE	4-cholesten-7alpha,12alpha,24(S)-triol-3-one is reduced to 5beta-cholestan-7alpha,12alpha,24(S)-triol-3-one	Reaction
193821_RLE	4-cholesten-7alpha,12alpha,27-triol-3-one is reduced to 5beta-cholestan-7alpha,12alpha,27-triol-3-one	Reaction
193746_RLE	4-cholesten-7alpha,24(S)-diol-3-one is reduced to 5beta-cholestan-7alpha,24(S)-diol-3-one	Reaction
193824_RLE	4-cholesten-7alpha,27-diol-3-one is reduced to 5beta-cholestan-7alpha,27-diol-3-one	Reaction
192033_RLE	4-cholesten-7alpha-ol-3-one is reduced to 5beta-cholestan-7alpha-ol-3-one	Reaction
70906_RLE	4-imidazolone-5-propionate + H2O => N-formiminoglutamate + 2H+	Reaction
194642_RLE	4-methyl,4-carboxycholesta-8(9),24-dien-3beta-ol is decarboxylated and oxidized to form 4-methylcholesta-8(9),24-dien-3-one	Reaction
194689_RLE	4-methylcholesta-8(9),24-dien-3-one is reduced to 4-methylcholesta-8(9),24-dien-3beta-ol	Reaction
194669_RLE	4-methylcholesta-8(9),24-dien-3beta-ol is oxidized to 4-carboxycholesta-8(9),24-dien-3beta-ol	Reaction
71146_RLE	4a-hydroxytetrahydrobiopterin => q-dihydrobiopterin + H2O	Reaction
2564826_RLE	4Fe-4S cluster assembles on NUBP2:NUBP1 scaffold	BlackBoxEvent
216727_RLE	4xPALM-C-p-2S-ABCA1 tetramer binds APOA1	Reaction
216723_RLE	4xPALM-C-p-2S-ABCA1 tetramer transports CHOL from transport vesicle membrane to plasma membrane	Reaction
216757_RLE	4xPALM-C-p-2S-ABCA1 tetramer transports PL from transport vesicle membrane to plasma membrane	Reaction
6782204_RLE	5' incision of damaged DNA strand by ERCC1:ERCC4 in TC-NER	Reaction
429845_RLE	5' to 3' exoribonuclease hydrolyzes decapped mRNA	Reaction
5690990_RLE	5'- incision of DNA by ERCC1:ERCC4 in GG-NER	Reaction
200740_RLE	5,10-methenylTHF polyglutamate + H2O <=> 10-formylTHF polyglutamate	Reaction
200718_RLE	5,10-methenylTHF polyglutamate + NADPH + H+ <=> 5,10-methyleneTHF polyglutamate + NADP+	Reaction
200651_RLE	5,10-methyleneTHF polyglutamate + glycine <=> tetrahydrofolate polyglutamate (THF polyglutamate) + serine	Reaction
200644_RLE	5,10-methyleneTHF polyglutamate + NADP+ <=> 5,10-methenylTHF polyglutamate + NADPH + H+	Reaction
200676_RLE	5,10-methyleneTHF polyglutamate + NADPH + H+ => 5-methylTHF polyglutamate + NADP+	Reaction
73618_RLE	5,6-dihydrothymine + H2O => beta-ureidoisobutyrate	Reaction
73589_RLE	5,6-dihydrouracil + H2O => beta-ureidopropionate	Reaction
390929_RLE	5-HT1 and 5A receptors can bind serotonin	Reaction
390930_RLE	5-HT2 receptor can bind serotonin	Reaction
390931_RLE	5-HT4, 6 and 7 receptors can bind serotonin	Reaction
380608_RLE	5-hydroxyindole acetaldehyde to 5-hydroxyindole acetic acid	Reaction
73815_RLE	5-phospho-alpha-D-ribose 1-diphosphate (PRPP) + H2O + L-glutamine <=> 5-phosphoribosylamine + L-glutamate +pyrophosphate	Reaction
73843	5-Phosphoribose 1-diphosphate biosynthesis	Pathway
73814_RLE	5-Phosphoribosylamine + Glycine + ATP => GAR + ADP + Pi	Reaction
1855230_RLE	5-PP-IP4 is phosphorylated to 1,5-(PP)2-IP3 by IP6K1/2 in the nucleus	Reaction
1855173_RLE	5-PP-IP4 transports from the nucleus to the cytosol	Reaction
1855198_RLE	5-PP-IP5 is dephosphorylated to IP6 by NUDT(1) in the cytosol	Reaction
1855182_RLE	5-PP-IP5 is phosphorylated to 1,5-(PP)2-IP4 by PPIP5K1/2 in the cytosol	Reaction
1855224_RLE	5-PP-IP5 is phosphorylated to 5-PPP-IP5 by IP6K1/2 in the nucleus	Reaction
1855158_RLE	5-PP-IP5 is phosphorylated to 5-PPP-IP5 by IP6K1/3 in the cytosol	Reaction
1855203_RLE	5-PP-IP5 transports from the nucleus to the cytosol	Reaction
5419271_RLE	55S ribosome hydrolyzes peptidyl-tRNA bond and MTRF1L hydrolyzes GTP	BlackBoxEvent
5419261_RLE	55S ribosome with peptidyl-tRNA in A site binds GFM1:GTP	Reaction
192010_RLE	5beta-cholestan-3alpha, 7alpha, 12alpha-triol is translocated from the cytosol to the mitochondrial matrix	Reaction
193497_RLE	5beta-cholestan-3alpha, 7alpha, 26-triol is oxidized to 3alpha, 7alpha-dihydroxy-5beta-cholestan-26-al	Reaction
193393_RLE	5beta-cholestan-3alpha, 7alpha-diol is hydroxylated to 5beta-cholestan-3alpha, 7alpha, 26-triol	Reaction
193537_RLE	5beta-cholestan-3alpha, 7alpha-diol is translocated from the cytosol to the mitochondrial matrix	Reaction
193780_RLE	5beta-cholestan-3alpha,7alpha,12alpha,24(S),27-pentol is oxidized to 3alpha,7alpha,12alpha,24(S)-tetrahydroxy-5beta-cholestan-27-al	Reaction
193787_RLE	5beta-cholestan-3alpha,7alpha,12alpha,24(S)-tetrol is hydroxylated to 5beta-cholestan-3alpha,7alpha,12alpha,24(S), 27-pentol	Reaction
193774_RLE	5beta-cholestan-3alpha,7alpha,12alpha,24(S)-tetrol is translocated from the cytosol to the mitochondrial matrix	Reaction
192042_RLE	5beta-cholestan-3alpha,7alpha,12alpha,27-tetrol is oxidized to 3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-27-al	Reaction
193832_RLE	5beta-cholestan-3alpha,7alpha,12alpha,27-tetrol is translocated from the cytosol to the mitochondrial matrix	Reaction
193719_RLE	5beta-cholestan-3alpha,7alpha,24(S),27-tetrol is oxidized to 3alpha,7alpha,24(S)-trihydroxy-5beta-cholestan-27-al	Reaction
193715_RLE	5beta-cholestan-3alpha,7alpha,24(S)-triol is translocated from the cytosol to the mitochondrial matrix	Reaction
193808_RLE	5beta-cholestan-3alpha,7alpha,27-triol is translocated from the cytosol to the mitochondrial matrix	Reaction
193781_RLE	5Beta-cholestan-7alpha,12alpha,24(S)-triol-3-one is reduced to 5beta-cholestan-3alpha,7alpha,12alpha,24(S)-tetrol	Reaction
193800_RLE	5Beta-cholestan-7alpha,12alpha,27-triol-3-one is reduced to 5beta-cholestan-3alpha,7alpha,12alpha,27-tetrol	Reaction
193758_RLE	5beta-cholestan-7alpha,24(S)-diol-3-one is reduced to 5beta-cholestan-3alpha,7alpha,24(S)-triol	Reaction
193841_RLE	5beta-cholestan-7alpha,27-diol-3-one is reduced to 5beta-cholestan-3alpha,7alpha,27-triol	Reaction
192160_RLE	5beta-cholestan-7alpha-ol-3-one is reduced to 5beta-cholestan-3alpha, 7alpha-diol	Reaction
192036_RLE	5Beta-cholesten-7alpha, 12alpha-diol-3-one is reduced to 5beta-cholestan-3alpha, 7alpha, 12alpha-triol	Reaction
2161776_RLE	5S-HETE is oxidised to 5-oxoETE by 5-HEDH	Reaction
